it,bt,km,transmission,ownerNo,oem,model,modelYear,price_in_lakhs,Insurance Validity,Fuel Type,Seats,Safety_count,top_features_count,Color,No of Cylinder,Turbo Charger,Super Charger,City,Power,Torque
0,Hatchback,29268,Manual,1,Hyundai,Hyundai EON,2014,3.3,comprehensive,Petrol,5,15,9,White,3.0,no,no,Bangalore,55.2,74.5
0,Sedan,20000,Automatic,1,Volkswagen,Volkswagen Vento,2019,9.9,third party insurance,Petrol,5,28,9,Others,4.0,yes,no,Bangalore,103.2,175.0
0,Sedan,30000,Manual,1,Toyota,Toyota Yaris,2018,7.5,third party insurance,Petrol,5,26,9,Others,4.0,no,no,Bangalore,105.5,140.0
0,Hatchback,64374,Automatic,1,Honda,Honda Jazz,2018,7.55,not available,Petrol,5,22,9,Grey,4.0,no,no,Bangalore,88.7,110.0
0,SUV,30000,Manual,1,MG,MG Hector,2021,17.5,third party insurance,Diesel,5,31,9,Others,4.0,yes,no,Bangalore,167.68,350.0
0,SUV,7100,Automatic,1,Hyundai,Hyundai Alcazar,2022,20.83,comprehensive,Petrol,6,32,9,White,4.0,no,no,Bangalore,156.9,191.0
0,Hatchback,43679,Manual,1,Hyundai,Hyundai i10,2010,2.71,comprehensive,Petrol,5,10,9,Silver,4.0,no,no,Bangalore,68.05,99.04
0,SUV,40000,Automatic,1,Hyundai,Hyundai Creta,2018,12.8,third party insurance,Petrol,5,30,9,Others,4.0,no,no,Bangalore,121.3,151.0
0,Hatchback,40562,Manual,1,Hyundai,Hyundai i20,2012,4.36,third party,Diesel,5,11,9,Red,4.0,no,no,Bangalore,88.76,219.6
0,SUV,26500,Automatic,2,Hyundai,Hyundai Creta,2021,16.75,comprehensive,Petrol,5,26,9,White,4.0,yes,no,Bangalore,138.12,242.0
0,SUV,20000,Automatic,1,Hyundai,Hyundai Venue,2019,12.5,third party insurance,Petrol,5,31,9,Others,3.0,yes,no,Bangalore,118.35,171.6
0,SUV,58600,Automatic,1,Mahindra,Mahindra XUV500,2016,13.5,third party insurance,Diesel,7,28,9,Silver,4.0,yes,no,Bangalore,140.0,330.0
0,SUV,20000,Automatic,1,Hyundai,Hyundai Venue,2019,12.5,third party insurance,Petrol,5,31,9,Others,3.0,yes,no,Bangalore,118.35,171.6
0,SUV,42050,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,22.25,comprehensive,Petrol,5,37,9,White,4.0,yes,no,Bangalore,147.94,250.0
0,Hatchback,65017,Automatic,1,Maruti,Maruti Celerio,2015,4.75,2nd party,Petrol,5,13,8,White,3.0,no,no,Bangalore,67.04,90.0
